ZIP,COUNTYNAME,STATE,Helper1,Helper2,ZIP2,STCOUNTYFP,CLASSFP,,State,STCode,State Acres,Natl. Parks,Park Coverage (acres),%NPARK,,,,,,,,,,
20235,District of Columbia,DC,DC|District of Columbia,DC|District of,20235,11001,H6,,,,,,,,,,,,,,,,,
20237,District of Columbia,DC,DC|District of Columbia,DC|District of,20237,11001,H6,,,,,,,,,,,,,,,,,
20239,District of Columbia,DC,DC|District of Columbia,DC|District of,20239,11001,H6,,,,,,,,,,,,,,,,,
20240,District of Columbia,DC,DC|District of Columbia,DC|District of,20240,11001,H6,,,,,,,,,,,,,,,,,
20241,District of Columbia,DC,DC|District of Columbia,DC|District of,20241,11001,H6,,,,,,,,,,,,,,,,,
20242,District of Columbia,DC,DC|District of Columbia,DC|District of,20242,11001,H6,,,,,,,,,,,,,,,,,
20244,District of Columbia,DC,DC|District of Columbia,DC|District of,20244,11001,H6,,,,,,,,,,,,,,,,,
20245,District of Columbia,DC,DC|District of Columbia,DC|District of,20245,11001,H6,,,,,,,,,,,,,,,,,
20250,District of Columbia,DC,DC|District of Columbia,DC|District of,20250,11001,H6,,,,,,,,,,,,,,,,,
20254,District of Columbia,DC,DC|District of Columbia,DC|District of,20254,11001,H6,,,,,,,,,,,,,,,,,
20260,District of Columbia,DC,DC|District of Columbia,DC|District of,20260,11001,H6,,,,,,,,,,,,,,,,,
20268,District of Columbia,DC,DC|District of Columbia,DC|District of,20268,11001,H6,,,,,,,,,,,,,,,,,
20270,District of Columbia,DC,DC|District of Columbia,DC|District of,20270,11001,H6,,,,,,,,,,,,,,,,,
20289,District of Columbia,DC,DC|District of Columbia,DC|District of,20289,11001,H6,,,,,,,,,,,,,,,,,
20303,District of Columbia,DC,DC|District of Columbia,DC|District of,20303,11001,H6,,,,,,,,,,,,,,,,,
20306,District of Columbia,DC,DC|District of Columbia,DC|District of,20306,11001,H6,,,,,,,,,,,,,,,,,
20318,District of Columbia,DC,DC|District of Columbia,DC|District of,20318,11001,H6,,,,,,,,,,,,,,,,,
20319,District of Columbia,DC,DC|District of Columbia,DC|District of,20319,11001,H6,,,,,,,,,,,,,,,,,
20340,District of Columbia,DC,DC|District of Columbia,DC|District of,20340,11001,H6,,,,,,,,,,,,,,,,,
20370,District of Columbia,DC,DC|District of Columbia,DC|District of,20370,11001,H6,,,,,,,,,,,,,,,,,
20372,District of Columbia,DC,DC|District of Columbia,DC|District of,20372,11001,H6,,,,,,,,,,,,,,,,,
20373,District of Columbia,DC,DC|District of Columbia,DC|District of,20373,11001,H6,,,,,,,,,,,,,,,,,
20374,District of Columbia,DC,DC|District of Columbia,DC|District of,20374,11001,H6,,,,,,,,,,,,,,,,,
20375,District of Columbia,DC,DC|District of Columbia,DC|District of,20375,11001,H6,,,,,,,,,,,,,,,,,
20376,District of Columbia,DC,DC|District of Columbia,DC|District of,20376,11001,H6,,,,,,,,,,,,,,,,,
20380,District of Columbia,DC,DC|District of Columbia,DC|District of,20380,11001,H6,,,,,,,,,,,,,,,,,
20388,District of Columbia,DC,DC|District of Columbia,DC|District of,20388,11001,H6,,,,,,,,,,,,,,,,,
20390,District of Columbia,DC,DC|District of Columbia,DC|District of,20390,11001,H6,,,,,,,,,,,,,,,,,
20391,District of Columbia,DC,DC|District of Columbia,DC|District of,20391,11001,H6,,,,,,,,,,,,,,,,,
20392,District of Columbia,DC,DC|District of Columbia,DC|District of,20392,11001,H6,,,,,,,,,,,,,,,,,
20398,District of Columbia,DC,DC|District of Columbia,DC|District of,20398,11001,H6,,,,,,,,,,,,,,,,,
20401,District of Columbia,DC,DC|District of Columbia,DC|District of,20401,11001,H6,,,,,,,,,,,,,,,,,
20402,District of Columbia,DC,DC|District of Columbia,DC|District of,20402,11001,H6,,,,,,,,,,,,,,,,,
20403,District of Columbia,DC,DC|District of Columbia,DC|District of,20403,11001,H6,,,,,,,,,,,,,,,,,
20404,District of Columbia,DC,DC|District of Columbia,DC|District of,20404,11001,H6,,,,,,,,,,,,,,,,,
20405,District of Columbia,DC,DC|District of Columbia,DC|District of,20405,11001,H6,,,,,,,,,,,,,,,,,
20407,District of Columbia,DC,DC|District of Columbia,DC|District of,20407,11001,H6,,,,,,,,,,,,,,,,,
20408,District of Columbia,DC,DC|District of Columbia,DC|District of,20408,11001,H6,,,,,,,,,,,,,,,,,
20410,District of Columbia,DC,DC|District of Columbia,DC|District of,20410,11001,H6,,,,,,,,,,,,,,,,,
20411,District of Columbia,DC,DC|District of Columbia,DC|District of,20411,11001,H6,,,,,,,,,,,,,,,,,
20412,District of Columbia,DC,DC|District of Columbia,DC|District of,20412,11001,H6,,,,,,,,,,,,,,,,,
20413,District of Columbia,DC,DC|District of Columbia,DC|District of,20413,11001,H6,,,,,,,,,,,,,,,,,
20414,District of Columbia,DC,DC|District of Columbia,DC|District of,20414,11001,H6,,,,,,,,,,,,,,,,,
20415,District of Columbia,DC,DC|District of Columbia,DC|District of,20415,11001,H6,,,,,,,,,,,,,,,,,
20416,District of Columbia,DC,DC|District of Columbia,DC|District of,20416,11001,H6,,,,,,,,,,,,,,,,,
20417,District of Columbia,DC,DC|District of Columbia,DC|District of,20417,11001,H6,,,,,,,,,,,,,,,,,
20418,District of Columbia,DC,DC|District of Columbia,DC|District of,20418,11001,H6,,,,,,,,,,,,,,,,,
20419,District of Columbia,DC,DC|District of Columbia,DC|District of,20419,11001,H6,,,,,,,,,,,,,,,,,
20420,District of Columbia,DC,DC|District of Columbia,DC|District of,20420,11001,H6,,,,,,,,,,,,,,,,,
20421,District of Columbia,DC,DC|District of Columbia,DC|District of,20421,11001,H6,,,,,,,,,,,,,,,,,
20422,District of Columbia,DC,DC|District of Columbia,DC|District of,20422,11001,H6,,,,,,,,,,,,,,,,,
20423,District of Columbia,DC,DC|District of Columbia,DC|District of,20423,11001,H6,,,,,,,,,,,,,,,,,
20424,District of Columbia,DC,DC|District of Columbia,DC|District of,20424,11001,H6,,,,,,,,,,,,,,,,,
20425,District of Columbia,DC,DC|District of Columbia,DC|District of,20425,11001,H6,,,,,,,,,,,,,,,,,
